"title","avg_rating","rating_count","phone","website","address","images","category"
"Dennis The Menace Playground","4.7","3410","+1 831-646-3866","monterey.org","777 Pearl St, Monterey, CA 93940, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-gIoVN9hL4Z3bAABPYpLGDuWZLINggimLR_U7Z80lX3o0oAnMJLHK4eVkTZfhLrZr-hhlat0qnztkMMsKNHVTuZ8jUE144gMARfFTXOmvCs1CgZR37ZyuG4lzbzEi6vFz8Vk32YQ=s4196-v1","Playground"
"California Wilds! Playground","4.7","10",,"oaklandzoo.org","Oakland, CA 94605, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9D3uMzBn10eRe6U8fdTs_R7FVrGO7BsQuBcuVwkiPiTbqmSQhjhvQZKlv-yKy88BzctLNjudj8om_ETkP9-jNwv0KOmccC6CAoyhDvot_G72JrIiPFyZwBmGF7e_9T4MKRlRVAqQ=s4196-v1","Playground"
"Plaza Park Playground","4.5","173","+1 559-713-4365","visalia.city","9000 W Airport Dr, Visalia, CA 93277, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9iGJHIJwE1o_bWee9bgfTS2sCWSePq52ikh5yS0hoTzebhg9GAUbBSZ7a_eJsuQ2znJNHBcSgGAmF1OzbcG6j8BnjcIcbRSZt1gq63-RtJMZfWfUNrd39VKYXHk_YKJvRo_tB9=s4196-v1","Playground"
"Newport Beach Playground","4.8","51",,"newportbeachca.gov","1400 W Oceanfront, Newport Beach, CA 92661, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-mIQN2eYiRmwPdNLVeogyuZlg5pAiPFN8K5ZQdL8elLrH19LaP6ImzFXZki4smgH0e6OQ3UD0LtMeRl-8PGBpWNdCLo3NMvsYK_SE7IsWqcOL6xFNOvlV04JQJ9bwu4sQOr7-A=s4196-v1","Playground"
"Playground Fantastico","4.6","306","+1 707-257-9529","cityofnapa.org","Old Sonoma Rd, Napa, CA 94558, United States","https://lh3.googleusercontent.com/p/AF1QipNOVVMPOkhLp-0wdxk_vx-TqD4H10q7WUI4OBh-=s4196-v1","Playground"
"Ladera Park Toddler Playstructure by Landscape Structures","4.8","27",,,"5908 59th St, Windsor Hills, CA 90056, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8MZKXsZOxGh37P6TneNIL2N52R7FWuw4FVpPCtUUvaiya98G0-9h5tAWmHzONwS7nNqQOEWXPn3WZrrQqdhOOMyRdWu3ErAOlqHlLa2SZqTfmoZvxi0GRdebC8qGyD9c_NPTyZ=s4196-v1","Playground"
"Rise Park Playground","4.6","17",,,"249 Sawbuck, Irvine, CA 92618, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9taEb9sK3LKEn6vrJIIASO2B5njLybeuh-pTt_AZ5UMr2act2jVx9Rjdn4DCkmMRtf3RvhN5CKh94TTB2s3vQexoJAxTknkD6qjB8PPljnwniBqBcvtsoQGqKZCkI7oW3nsyk=s4196-v1","Playground"
"Livingston Park Playground","4.6","108",,,"4700-4798 E Livingston Dr, Long Beach, CA 90803, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-UC180eUBVHsnVun_Y_opydQzFldxob56XY9GZmB0d8rYA90Kpuy4vcckdWQhNzcNL0qkJDR5TPk4wP7YdrFQQw89dr70mrTez5Vz6YROAWf9LoXc5pucjKcieuiaXLi9XzE9g_g=s4196-v1","Playground"
"Ocean Park Playground","4.7","16",,,"4288032916, Santa Monica, CA 90405, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9BUOdPkKc8icmv9fPAhFKEJp9mx2Dw6jPp--quA6p1q0KHU_PxOffxPYELI-7UMn6_bO3Ktqa_mHVGHFHBlQ2cIOl0K1j2XASTz2_5jBDGiIzRz7cr7jhjwRupn_PaMiBIY-pA=s4196-v1","Playground"
"La Laguna Playground","4.8","9",,"nps.gov","300 W Wells St, San Gabriel, CA 91776, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_MKfwYyKThOXgefyz-enU4CYu7TqyHRT_S5bQB9HH-KjLuwc1xirFwAmHB6V1pSvxGKYfwKzYOSKzCK8er00ir7CXkGTK6fEQoBjg_MNHMYUoFwh_GT10bbc3ucY9SPl4NQcWo=s4196-v1","Playground"
"War Memorial Playground","4.4","103","+1 408-615-3140","santaclaraca.gov","295 Monroe St, Santa Clara, CA 95050, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-OSFFJisRgwqfB3CI69eDUEDHIy6H7Sa1tYIO9_KYzSkqPRu88xFlki57HcTrKCWt5mmUx0de092BNQ5lGUMWPAG4OFZQZyxv1VQMQlJP5uhu5pXn1WrsF4L7gm7SKBi0aOGynFw=s4196-v1","Playground"
"Playground","5.0","2",,,"808 California St, El Segundo, CA 90245, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_ygT3Q91C0t_FJM2nsLPTX1ERCUP6quGzydkFYM8m6eYpNi4-06p1iGbT01n0n0WynUoeDC3R_KPmOfVGD4UWz_2V5gc-cahitbt7FQSquTvCPlKVvCp1qiq1HPz-893dGYLs7=s4196-v1","Playground"
"Carbon Canyon Regional Park Playground","4.5","21","+1 714-973-3160","ocparks.com","Carbon Canyon Rd, Brea, CA 92823, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-t-ewGwX7JEzhJYWxikJMChLGetUaATEIIJ-Ikj_naitlbzPGT64tssJ-vOXYBlynYkChGWK6xLreV03lQH1lEXabmjrY_UGccgLwd6QEzFiXe12rDoeGKzF4LantTsB3dgnxmSg=s4196-v1","Playground"
"Pioneer Park Playground","4.8","26",,,"1308 Cedar St, Calistoga, CA 94515, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB94ALrMve6JlQGoIWNB30o4fmB01i49z1WrJiBY7HhcCdp95oYAHydCRP0e1TylVZccmBd_imH23Jh8io9M_fpeRxyJiA6AYNMF5GZnexD8XCVvfg2WELDRf9DhBaXT7o2ucjkx=s4196-v1","Playground"
"Adventure Playground","4.1","91","+1 714-842-7442","huntingtonbeachca.gov","7111 Talbert Ave, Huntington Beach, CA 92648, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-zJk51svAk-tOJUwYUZs9yAdRV44hJPVp0TDQIAUAFFkJtSX4vggL1bt-hqdxPpXwjn3KVxaCv9l4i7REZo12fb49f3xpMq9RjdyS6gaUrFruarEX0ySpLcfpuclRt2a-PBYtb=s4196-v1","Playground"
"Clover Park - Playground 1","4.6","23","+1 310-458-8573","smgov.net","Santa Monica, CA 90405, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-l1WHnGsGeuEzHoXzAckA9h1OpHUTUO5dnXpzVwvWoIZgrG_hqOCQK_x0Y54LxhtNDUf9STDz92-Uj2bDt1XVr-vZC6Kz3mc7pzT9HR_RFSGYQWD5np1_XPc8Jxu-_BDc4r2-G=s4196-v1","Playground"
"Playground Pavilion","4.4","21",,,"South La Brea Ave, Los Angeles, CA 90036, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8NxfV5gJzHetIjBXmOXUvs6-JXxD35z83cpIueB8a_JJ6Cey2FYfM0tNuuZoqPDCpfopcrGhJq8mmL4KZxr28EJA3q7wnaVGe-70SrCgbuRwlZax8LoCzXd9bo6RaxbuiU8swl=s4196-v1","Playground"
"Helen Diller Playground","4.7","589","+1 415-831-2700","sfrecpark.org","San Francisco, CA 94114, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_y8ZHMXBAZiR27NhwpIwQ5mX0UsqEphLC4__rCqETcgu0UXTJ1IIzzHwFbHUf0MKycfjSG3-afFU_rdE6vavMoYHx_L1IjK8inO7YF70dgiBLdtz5EEk-YC_D4riGfRuUYcLk=s4196-v1","Playground"
"Cohn Park Playground","4.7","19",,,"Folsom, CA 95630, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8fghLSW2mU6JSOLT5kfZsol4-jNvadLzO0_OhGM4ghIw1DZe6l8Yfr-LBku-dWWTFGdGup6sPC-_k3mv07XhfuzaIPkkQ15GOsI-_mYdVl4TK0Nw4tjCfdz8RMP8HMB5b3X5ZX=s4196-v1","Playground"
"Vista Del Verde Park","4.6","133","+1 714-961-7160","yorbalindaca.gov","17600 Lakeview Ave, Yorba Linda, CA 92886, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8gTsCwJdN53dNkJzqTW9rmcUQFJJEMHcfvY-JfJetr6I0rEqDlgn5KSOQvJVOHDTaQL1_XKzru2VXqOtDIgFfCWcJoRGn032aWxVACfx_jbeZa1FRCcMk68Qk_dpldVE0yWk8-=s4196-v1","Playground"
"Ohlone Greenway Playground","4.4","64",,,"Ohlone Greenway, Berkeley, CA 94703, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Tuy48958l3T_bK--MeoQ4ikMYgkGa4-ssUUqrnJ8HLneO-gug9W18WVClArkcBFerqbT9nJ-RAiep8Fr13-O8bhn_UYuL2LUbAxum6piNERqiZA1JBooKoSx_XnKgDcol5EsR=s4196-v1","Playground"
"Mountain Lake Playground","4.8","194",,"sfrecpark.org","1 12th Ave, San Francisco, CA 94118, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8bH6SKXoohI1R5GHSNE7qoOCEAFfejOL4adsbSHJ7TrOGFMKX6bhZiSMjSkBdtOzXdgo3KY8U8JK9FqR9qVNvo4F0nhMYkIWhwSXy1Uf-KURcIUxTsGDDYcWzQfN84TLPMOcfP=s4196-v1","Playground"
"Balboa Park Playground","4.6","116",,"sfrecpark.org","34 Sgt John V Young Ln, San Francisco, CA 94112, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9xdZ9KEGCOho3jKsP6DyT78NrpR4yKspFjMDKnhO2t_WUeCMwLH4TUhH_I9DerCmfe1wNSnYJrPhj7pVhZhaJJvzdiaNV03lPNWjGKrhcpgOGT86kKeCh7pWljm5hnnGdirPKz=s4196-v1","Playground"
"Sacramento Adventure Playground","4.8","19","+1 916-222-3831","sacadventureplay.org","3301 37th Ave, Sacramento, CA 95824, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_wz7rV_55766TCs4nqWfL5kN00h2PudzbEBgT59BkUyn6e92MWOpbDUjvoAqbPYgl9b6yEppHbEv8w-5ug9XuQZtlA_gZ_I8Au0Xo9CWqNuScht2iQY_rXJAohlF77v8u4-Pi_Bw=s4196-v1","Playground"
"Huntington Beach Central Park West Playground","4.8","32",,,"Huntington Beach, CA 92647, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-IHvL72-xZuIzEr8-mSCMwCnRMOIzwzsx4C1knpWwW5xJ9FXGwckU7k2HOdwp0-8x1zWSw7AJHK9Ys27JsqXeYDIPAf4gLq_VnQzN50cgN3IEflNEFaMJdC0JL9qpB-gEdR3VAPw=s4196-v1","Playground"
"Holly Playground","4.5","60",,"sfrecpark.org","266-352 Holly Park Cir, San Francisco, CA 94110, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8Tvo2DtodL07bmvNMxCIyPqxfOxi-MApYduzoq4g-KPIc8VTzIQ4Hy38ZawyAWj7BNJXoZ83tfiuvaEkxZto1aGTwRshT4EaoALvk3e44BA6U-rRJ6ajvZOM4gXpjxIakob70M8w=s4196-v1","Playground"
"Koret Children's Playground","4.7","1104","+1 415-861-0778","sfrecpark.org","Koret Children's Quarter Playground, Martin Luther King Jr Dr & Bowling Green Dr, San Francisco, CA 94117, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_59Va74BQGTISYEXxvO9E0VechtyGn4Dsq4Fo1LXLYxi9Hj-XaS8KXd0zSPTAj5k8nlgpfSsWDRC2xjY87bHta8lxJ96dBfu3M2Yvam6I4vNdW5tMRTjmDt6oKZle8f7VHqZl9=s4196-v1","Playground"
"Playground","4.9","44",,,"Holmby Park, 601 Comstock Ave, Los Angeles, CA 90024, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8w_z2NVsi5U53L3gVpWfQ0-y-Cn8wJV9F_2qaCbtt3_VF_XbNUKDcYZjkjlZpOjLyXLxwiwUBS3LK6RjOXgDUsT7ioSaFG_ELVTjrnekKxIWGX5POtY280VPB8H2paGik4ytZL=s4196-v1","Playground"
"Kids Empire Bakersfield","4.4","711","+1 661-405-4650","kidsempire.com","4220 California Ave, Bakersfield, CA 93309, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_7vIUny9bWCFfXTI3Kcq-ixTPdSH73l9S_wO8DP3rCrRmzyeYwvN9p3z5p0KxrqsNvDehUg1ybshJ603GenZm1CMJcd1kd5Oq9ooeZ7EhS_J37g0a9fzAjtN40thoaclNMV3fc=s4196-v1","Indoor playground"
"The Pirate Park","4.7","39",,,"360 N Arroyo Blvd, Pasadena, CA 91103, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB81U1-M3zIdU2txC1KbGggI_mR1RlVtsdt2obyXEg0rFMFVjlU1SZPCjF2rItJgOrcl6h_uaC8R77g-ZU6mO349MCEjBQQz3V-kz7ptcAgfwBljmdh5X-4peg8Wz4FmdIWXtTeJmw=s4196-v1","Playground"
"Yorba Linda Adventure Playground","4.1","71","+1 714-961-7100","yorbalindaca.gov","4601 Casa Loma Ave, Yorba Linda, CA 92886, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_nPbFUfkLM0Tlh5cKBEzK2IySIBLn9DdfceNi1HHeZKIML1yXLev8goAY5R9QvOM6_Z0BZ0KDVI6p2IDGCxmlTuaF2tAQA9wlsBPRXEfTZion44QMWRrFfzgZ1oPLHVqWwiP5DoA=s4196-v1","Playground"
"Fremont Park Playground","4.5","40",,,"1515 Q St, Sacramento, CA 95814, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8BXgy3mq2vu0OcwofLQWC7WFSVPh-2qqj4W3AtTi29ArgUC8hKTELnDoxF0AXw31ValdhKlpM-MKjSFy6OFEdENPGNPr-_IAeNW4WhJSTgtUFBGlFmBxI04CTZTEpEBisiQ8o=s4196-v1","Playground"
"Aidan's Place at Westwood Recreation Center","4.7","344","+1 310-473-3610","laparks.org","1350 S Sepulveda Blvd, Los Angeles, CA 90025, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8fiW3RPfRYeuQllOCFNZQ_2u7cu_APWz7h98v3AcRmUQEPl03nIuWPHB919zR3s5X8VpjV8IBYEmWiDhOnO5nPfGCYdEJx_ui0pkrbNFBixjCeaR7yVUei0_-K7PLbIpekbx7t9A=s4196-v1","Playground"
"Mile Square Regional Park Playground","4.3","17",,,"Fountain Valley, CA 92708, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9akVOv19GIsLy_HIDJNBGUtSjkeKdshMh02YEDGs_3-optE3PeP4Y6N2L74rb2vI6Cp_8murZ-0LFo4CK4iZU6XwLXzZV2jOxyg9gx9dqVf3BzkIdnO5jFUHxHW1jn8PNsVrA2=s4196-v1","Playground"
"Playground","4.3","16","+1 818-756-8189","laparks.org","21725 Califa St, Woodland Hills, CA 91367, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9NuPZkbsp-4iv7QAieg4r8gXPDP36XF7fbcJsTGlaRcwjRykRZv1pKvcc0_gpUS9-hoL3DCHdJKH0ynfp2UPYYEjty3R_DYGUjXdC5ZIoETTonhQxxaTI_WzuyAYTL-f2mCYJ0Xg=s4196-v1","Playground"
"Playground","4.7","78",,,"Unnamed Road, Santa Clara, CA 95054, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_KFFLWysOykAjytYERIgjk5FMr57p_PE_Dyi15P1bqB_2r9XW2-LWRVR6ptohEDcPPEG7s3irzcKlHEyddeA42KemWcjpV3lgb5m1kD1gzMG1R_VbbK2PRqSV1t9W7N3RpCG9g1A=s4196-v1","Playground"
"Astro Park Play Area","4.4","72",,,"1210 Lakeshore Ave, Oakland, CA 94610, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9AmCdWOiQuA92Ybd3Hf74Hqm43Ap26fCusYrWgLTIAdrLiZVwjAZDPYred6FtV5EcxCxy7lZ-UgA6MMnQ7lxuC60AyIm4TIabLzjSNAqLMIt4hlkmyF5Xb9A7XEzIJB0F3=s4196-v1","Playground"
"Bill Barber Park Children's Playground","4.9","21",,,"Wall Of Recognition, 4 Civic Center Plaza, Irvine, CA 92606, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9iKtYRJ_mawdrlqzRyC0KyUxPielppyNy7Afo2qqOIbvIEwtHbkhKvjHxjeSzNqbjb86BTuz4rmh3cUF2hzTF2RiJAoFIX77xiNf8sRDoBybvHKmukxlggHr8yDWGM86ySpx2X=s4196-v1","Playground"
"Tatum's Garden","4.7","770",,"tatumsgarden.org","1 Maryal Dr, Salinas, CA 93906, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9UWUhVjwWjALG-LyhegycXayZzgktFfXyqc1oIKOJgE75s1FWUy_QnTK9_5BP5sLnzAwYUvhAkIja4VKgrSie2U_mGBXFR96LNLUb5tWQywqWmP47ODnZpEb-MG-Pb8iukPyA_aw=s4196-v1","Playground"
"Playground","4.6","24",,,"12252 West St, Garden Grove, CA 92840, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9v7cPH3oC47Grr59XVSV0EDxqLSUJg4ANtt00PB7b3xFXj_NbWiTYFRnWReN1ynr5fhTgFO88JD-9fE7kaQpbEiHCVYtWa-ACD_cLHhoD3onb-S7uiVpI0Tl8BtKWMw6IWNnc=s4196-v1","Playground"
"Kids Empire Anaheim","4.4","519","+1 714-587-5500","kidsempire.com","2078 E Lincoln Ave, Anaheim, CA 92806, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8uhTG2iitW82DgBvVUoWLx-E-QZaBRR7F1DImIcMIONlNXNm53I59oMzN2K1tgMgpQUl0p9UHHDFE8MYtdU_LVhHNmJGNUvscbKirqnMesemuhMnb3XIGdf3B98J-KyG83tDj2vA=s4196-v1","Indoor playground"
"Playground | Highlands Park","4.4","9",,"cityofsancarlos.org","293 Aberdeen Dr, San Carlos, CA 94070, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-pzt-lg2ALy-etYHCxWUI2LFT3AOnZrXex3h4MiWGW1uQyrvbKKUJo48YfW3qu9_dj8O8G3MDaGIXUV8rPkugzySHZMoltbTBDzAIMGxIdUMj8hh3FZLartwVLBkdoW4ibHP_i=s4196-v1","Playground"
"Playground","4.4","77",,,"3311 W 5th St, Santa Ana, CA 92703, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9K1qsDPI0pXS_ezQzTKrHWpfV9TjmXbtXFm9wZLo5fj0HKfYWFNOh6RJF5R8rO7Ot45CV-8X1w-NQ4hxpdEIgqNHRngrl0aONUU7WO8x1UhBqISGaluPjmsnPoFT4kWlRxA7dveg=s4196-v1","Playground"
