"title","avg_rating","rating_count","phone","website","address","area","city","category","images"
"Street Urchin","4.8","454","+44 7470 804979","street-urchin.co.uk","72 Great Ancoats St, Manchester M4 5BG, United Kingdom","Manchester Central","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB89sQITI5vK-TnlUQwrCCDaoeCTSNYHYJeqFY_b8QYCDTvCOifEJI83RfOLGckpB2Y1e9bu716pdMOrqZxZVaHoEjmi7_TQvf6pnScwZuUOiTU9RY5LySDfm1PYYwWYr-gX_z0d=s4196-v1"
"Bruco","4.8","82","+44 161 547 7595","brucomanchester.co.uk","5 Murray St, Ancoats, Manchester M4 6HS, United Kingdom","Manchester Central","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipOJpyDNSkTQCeaiGQQZFiR34uCAOurZSIGAPPY=s4196-v1"
"Blue Eyed Panda","4.5","457","+44 161 207 8788","blueeyedpanda.co.uk","3 Jersey Street Corner of Jersey Street and, Henry St, Manchester M4 6JA, United Kingdom","Manchester Central","Manchester","Chinese restaurant","https://lh3.googleusercontent.com/p/AF1QipNb4cEcUK6tOgrGNA_ldSvlVC_rBd63SpF7h-8A=s4196-v1"
"The Jane Eyre","4.7","381","+44 161 236 8171","thejaneeyre.co.uk","14 Hood St, Ancoats, Manchester M4 6WX, United Kingdom","Manchester Central","Manchester","Bar","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9nGCews4YMCeCpufJY4QEOi6Ha45jzHt2kfWmC-PYPpv6_jDtOJfXi2i8UG9b98ziSDceQGUMK6CD2_7i4kFuatveSOBrdSR8tIukKUeziXeCbQNdS81a8ZBJ6l0Kij85gEZWR8Q=s4196-v1"
"Pho No. 1","4.6","301","+44 161 536 3635",,"146 Oldham Rd, Ancoats, Manchester M4 6BG, United Kingdom","Manchester Central","Manchester","Vietnamese restaurant","https://lh3.googleusercontent.com/p/AF1QipP9wku--tnsH0lADb2qlF8mtPq4qM5Uw61uLfSY=s4196-v1"
"Jimmy's Manchester","4.5","746","+44 161 806 0163","jimmys.group","27 Blossom St, Ancoats, Manchester M4 6AJ, United Kingdom","Manchester Central","Manchester","Bar","https://lh3.googleusercontent.com/p/AF1QipPRd9HZ27VLYocfYezDlROhirHmShzeN-6qXl_p=s4196-v1"
"Another Heart To Feed","4.3","544",,"anotherhearttofeed.co.uk","10 Hilton St, Manchester M1 1JF, United Kingdom","Manchester Central","Manchester","Brunch restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-KXqFQrDa2H-itymF_Zsr9IOkrbfRabnujXGsw1kwurgLNcxVyHpkD1Jvu4U827JlvaMTYJMySa50xjBZ6ZtMqXQ26p2_l4I87FqYcMjGtvS9xAHy5ELUTgBXirXC66u_Hyz8=s4196-v1"
"L Ü C K Y - RAMEN | SUSHI | COCKTAILS","4.5","461",,"lucky-r.com","LUCKY, 13 Blossom St, Ancoats, Manchester M4 5AF, United Kingdom","Manchester Central","Manchester","Ramen restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_zItPjl3fx1El4Z-0wvbbgrpgJTyp7fKUwzEj33kAD_mr_0pQ32CpU4OzDXChGRZVpHi1h5Qx_OoSWx987Sh0vuhE9XCerUAMvzJvSxS4-a-XdQCK7C15jkX7cosS1OLx5MUA=s4196-v1"
"Indian Affair Ancoats","4.8","272","+44 161 510 1515","indian-affair.co.uk","46 Blossom St, Ancoats, Manchester M4 6BF, United Kingdom","Manchester Central","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9F7mQktFBv3iADs9g552hmLR5MFg1Sueu5vsEFSt5BwxLQs1pOa2C_mAVEbz-_ubRDz-ldI_vzefC6f1tsQp9Og2rPDqRQOsIPlmKU8QVSPkoTPghKjDmlOxQoWctdPQpgQWCCNA=s4196-v1"
"Soul & Surf Mcr","4.4","220","+44 161 236 7605","tables.hostmeapp.com","48 Great Ancoats St, Manchester M4 5AB, United Kingdom","Manchester Central","Manchester","Soul food restaurant","https://lh3.googleusercontent.com/p/AF1QipOyrMLojHEf_AXHJ0qM_yr3M64Q04PtCRuYMXIy=s4196-v1"
"Wow Banh Mi","4.9","536","+44 161 526 5395","instagram.com","132 Oldham Rd, Ancoats, Manchester M4 6BG, United Kingdom","Manchester Central","Manchester","Vietnamese restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_IkPjcAKN9kXY4AJav29UH1K60zQ8LEgF12zg0Ka3bUdFbqodnD6Aswvn5xopbxRgq02EiWj0Gd-jseIrwccwCyvukGnG8mLrRPO8erCk_0pTXScWxggs8XJ3NchLoqD_pMpm6=s4196-v1"
"Mackie Mayor","4.5","5418","+44 161 111 1111","mackiemayor.shop","Smithfield Market Hall, 1 Eagle St, Manchester M4 5BU, United Kingdom","Manchester Central","Manchester","Food court","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8TI7GD8WdyhKVd4bJa1Z74UrRvzpn-odvgA5StowzznQQ_yT9geYuV_S7H96YHPJ3KcbpdRSkzwTd6HVsfQ7aL6TjxQB-VAxaAqszWupmXaWjgIDEdEfvpzyL7biGKM7Fqvsa-=s4196-v1"
"Turtle Bay Manchester Northern Quarter","4.8","14185","+44 161 235 8411","turtlebay.co.uk","46-50 Oldham St, Manchester M4 1LE, United Kingdom","Manchester Central","Manchester","Caribbean restaurant","https://lh3.googleusercontent.com/p/AF1QipOcK3rmD_pFX1KtEGEQbZzQzkdAOwZQrT_RJWlo=s4196-v1"
"Rad's","4.8","314","+44 161 211 9604","radscaribbean.co.uk","62 Jersey St, Ancoats, Manchester M4 6JW, United Kingdom","Manchester Central","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/p/AF1QipNNdWXO0lIdqmzCisKnZ-LpffzgygbN90TiJf-R=s4196-v1"
"American Pies Mcr","4.5","1709","+44 161 215 8276","americanpies.co.uk","23 Blossom St, Ancoats, Manchester M4 5EP, United Kingdom","Manchester Central","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_MXNihT4sne7TAnplNqgTCwskGWTWGqijhXpT4PHAk7vJcdB1-oS1fliKk0ENcA-2upjSSLJmTFbiQWKLbdooAaoz6yNfXWsVXdmPFOlMiXYEIndKMDquCJFpLtzqRDfhppzWkeg=s4196-v1"
"Cotton","4.2","220","+44 161 806 0261","cottonbakery.co.uk","40 Blossom St, Ancoats, Manchester M4 6BF, United Kingdom","Manchester Central","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB98HyW5tPg3asGnkcLe4oQ3XTCH39egEik8p4MjstuipTiYmdxQGnV3NzQak5NYySPyBCTqGLveF13XuTaLR-cpNS9OKAJSqbZcCEHVaxp_Mpk98q0kisP5AnVYiFQMIBq9uoo1=s4196-v1"
"SEVEN BRO7HERS BEERHOUSE Ancoats","4.6","1875","+44 161 228 2404","sevenbro7hers.com","39 Blossom St, Ancoats, Manchester M4 5AF, United Kingdom","Manchester Central","Manchester","Pub","https://lh3.googleusercontent.com/p/AF1QipOHDJp4QtG7BKOSHvXEdku1L1CMtArtCYX2EKm-=s4196-v1"
"The New Cross","4.6","39",,"thenewcross.com","6 Cross Keys St, Manchester M4 5ET, United Kingdom","Manchester Central","Manchester","Bar","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_ufQhA8CHc5CpPG4PFYWehSeILuAK6IBkHFHanvJtp-7OOK8I3L469FCyrnrwXjQc0KIbOZsblsMFClQ8xNVa71KNnLoOAty1H_5f-QE8TSeZPe8VsKKgl65-xNaIku_OLhOM9gw=s4196-v1"
"Ancoats Coffee Co.","4.6","496",,"ancoats-coffee.co.uk","Unit 9, Royal Mill, 17 Redhill St, Ancoats, Manchester M4 5BA, United Kingdom","Manchester Central","Manchester","Coffee roasters","https://lh3.googleusercontent.com/p/AF1QipOXQMppmur0EIRR3HIRItnchSusA9BX0hZ3yAsY=s4196-v1"
"Yard & Coop Manchester","4.4","3034","+44 161 710 2570","yardandcoop.com","37 Edge St, Manchester M4 1HW, United Kingdom","Manchester Central","Manchester","Chicken restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_zQ2vWGsnSKmZIzjfYSB95Ztx8GcdyR3Ody8iGfN4kVBkBc6IGQUb1uzCysfB_Q4yvqtYwKzmtm6NXLUFVG90BeMVk3TyciA7TmcsD73OoeA8VZsN6jpYWbw5KUYEHR3XuPDwq=s4196-v1"
"Mala","4.5","1906","+44 7310 052230","instagram.com","8 Dale St, Manchester M1 1JA, United Kingdom","Manchester Central","Manchester","Food court","https://lh3.googleusercontent.com/p/AF1QipMAfEj5Xuis1tiV8lNZFILfWgoaZHqzwdvQgt_u=s4196-v1"
"Ramona","4.3","1477","+44 161 441 9020","takemetoramona.com","40 Swan St, Manchester M4 5JG, United Kingdom","Manchester Central","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-oOHhjTeyyKDgxmKKkqpH1gZXmdsB80P6SPJt6ilxrucz3962ZnAD8e7hbinZs7NIA7LtBDgbcAW-RYQaSygzBnzpSxRB927PaimcqF8YVRo5n2seJavK496jQtY8MzSydO4IEyA=s4196-v1"
"Bem Brasil Northern Quarter","4.4","1911","+44 161 923 6888","bembrasilrestaurants.com","58 Lever St, Manchester M1 1FJ, United Kingdom","Manchester Central","Manchester","Brazilian restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8zfZBsfiV1lQvN2AQEIcWZul4UdWhXxoHfEUWrIkOrX5UJTK8NARigc8uSLmDCEOJ-RG3bxoDNcMP766txWnGICYtLAFzBtMOMp40RV1OlLPalZ8yzrp4Pq1jFP_Vb-5mGEo-I=s4196-v1"
"Second City","4.2","258","+44 7387 182254",,"23 Blossom St, Ancoats, Manchester M4 5EP, United Kingdom","Manchester Central","Manchester","Bar","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Lhdu0B8gveAuHRymLtAmLc4hLFgrtAp0NaqWBt90dFfqkpVHnrzzgIezykg0kXH8xj000JicdwCgXloW-Yni5V-5bFv-VSIqrSO5M0oIDvEOuBQ-VC2pDdrFt1MwIxoqLxkmj=s4196-v1"
"Hong Thai","4.7","674","+44 7796 046556","facebook.com","140 Oldham Rd, Ancoats, Manchester M4 6BG, United Kingdom","Manchester Central","Manchester","Thai restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9dAhExkEEfAgLqknqb3uDSwuIj_yhTta5-0biy-IlqpeeJ1wozkyYJgo45dts2vQz29nc6o6vtCkRl1x8riUKTNFsk6CwRWpmQdCWfD-BM42GEs7HWjVcWNgRs0F1FWpJ4uUcpGQ=s4196-v1"
"The Koffee Pot","4.5","2448","+44 161 236 8918","thekoffeepot.co.uk","84-86 Oldham St, Manchester M4 1LE, United Kingdom","Manchester Central","Manchester","Brunch restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_4SBXWqdk6p1q2gLesWrahsfAvAtjNCeOo4WkvF7dRd-CE7QqaJw9CgFsUwNh9uHpzA0ml-5P2mgIbZL_SV-pQjKYKp-07JYYxMTCAXGsyeEx8ntCA37koqADR-L1UUuY2PmUnMg=s4196-v1"
"Cocoa Cabana Ancoats","4.2","323","+44 161 236 4784","cocoa-cabana.co.uk","7 Murray St, Ancoats, Manchester M4 6HS, United Kingdom","Manchester Central","Manchester","Chocolate shop","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9uzsev7Dra7BvfeoR-ym8sjyRsu2WQkB8zC5cSE8B3y5Ap0jMvgHs4mS8SfY66h44KnudA6u6l94d4ccoiZUClZX8V2QxRmJc7wR60uIfcw8NvTey4DYLU6CVoQvx19Q5TsDzwzw=s4196-v1"
"Almost Famous NQ","4.4","1705","+44 161 244 9424","almostfamousburgers.com","49-51 Edge St, Manchester M4 1HW, United Kingdom","Manchester Central","Manchester","Hamburger restaurant","https://lh3.googleusercontent.com/p/AF1QipM37kcX5GbiUujQ1pfoZI2725VzRSN0YMUuokXh=s4196-v1"
"Common","4.3","1382","+44 161 832 9245","nellspizza.co.uk","39-41 Edge St, Manchester M4 1HW, United Kingdom","Manchester Central","Manchester","Bar","https://lh3.googleusercontent.com/p/AF1QipO9dyqjMoUZRwM6eswc9D9Bk7rudEUSgGAhodM6=s4196-v1"
"廚房佬 Chef Kitchen","4.8","30","+44 7443 899670","facebook.com","42 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Asian restaurant","https://lh3.googleusercontent.com/p/AF1QipOSp6Fpt399jCHP7OnJvXnuIlmXa39wCDjNQLeo=s4196-v1"
"Mamas Soul Food","4.6","737","+44 7766 407138","mamassoulfood.co.uk","58, 60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Seafood restaurant","https://lh3.googleusercontent.com/p/AF1QipOBx5FhA7LeUW5S7zbg_su0Lwccgc5dmPBlB1WM=s4196-v1"
"My Burger Place (Manchester)","5.0","14","+44 7891 161379","myburgerplace.co.uk","42 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hamburger restaurant","https://lh3.googleusercontent.com/p/AF1QipPx6s65bM3WraF-5x5LvozVNpXP9QGJrazEwUeM=s4196-v1"
"Kerala Curry House","4.5","714","+44 7407 554433","keralacurryhouse.co.uk","Kitchen 25-26, 58-60, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Indian restaurant","https://lh3.googleusercontent.com/p/AF1QipMEalESoPSEEcTt20oPC8iLMZXGmGynkcfrsgRy=s4196-v1"
"Madina Grill","4.3","56","+44 161 273 3406",,"37 Higher Ardwick, Manchester M12 6DB, United Kingdom","Manchester Rusholme","Manchester","Pakistani restaurant","https://lh3.googleusercontent.com/p/AF1QipN7g2elCBS0l54I4tfGL52qUEO2PoDYtXgTlpsu=s4196-v1"
"Spicy Grill Manchester","4.2","150","+44 161 273 3406","spicy-grill.co.uk","37 Higher Ardwick, Manchester M12 6DB, United Kingdom","Manchester Rusholme","Manchester","Doner kebab restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_kH78XCPx_sYx3d8E6X-iHLoGvcVjSNVZ7NeuT-AhCIXjdUJiI6_MHOYA8xC1JiiTYpS3Wc2x9vtbYzrTgVT85pZiRvYZiy3XP9j94RCtA_sMIGGL7ayjB8exUhtyOhfAq_ME=s4196-v1"
"The Grubfellas","4.8","673","+44 7570 902480","thegrubfellas.co.uk","Kitchen 8, Ghost x Kitchens., 58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/p/AF1QipNhBWg6SUogMdEHw2180EKwwpOC2lHR6IStOQn4=s4196-v1"
"Burgerito","5.0","74",,"burgerito.co.uk","Kitchen 28, 60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hamburger restaurant","https://lh3.googleusercontent.com/p/AF1QipPUjZBrMNQhD0eOGJ0h9bPBX2PPM5iYhTXkWMw=s4196-v1"
"Malabar Makkani","4.5","184","+44 7776 146777","malabarmakkani.co.uk","Kitchen No. 2 & 3, Ardwick kitchen, 42 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8ee_p9E_E-x_YaLVTQ0UKt-y541Y0mhkPOyYpUVblxgyiA5dWMJ9PBEDI62PkMpoUe_crDIBjVgjWQsSps436o5RR652JgIeEuHSF6ABml3lMHxrspaY2kossssshgICg076U=s4196-v1"
"Hong Kong Boy Takeaway","4.4","134","+44 7746 777886","m.facebook.com","Room 5, Ghost Kitchens, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hong Kong style fast food restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8X-OPS31AlJYbqDLZc0pPcfkFBX9TPI2Q_oxymwlzvjEluuUKniXTwSbO0H8x-4yK-kOm7_BVLeyb55Tzv7VnEt9mDezyQnaQt2KPvIaR5PQ_6403VGogOmbg9s4k750MKYUtMKw=s4196-v1"
"Bun ‘N’ Wings","4.7","141","+44 161 706 2445","bunnwings.co.uk","Kitchen No.1, Ghost x Kitchens, 58-60, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Fast food restaurant","https://lh3.googleusercontent.com/p/AF1QipPttnW4YZp9RHPlfbylqTnFMYFxPtCgNXZm5bgc=s4196-v1"
"Top Topii","4.4","19","+44 1663 747444","toptopiionline.co.uk","58 60 Higher Ardwick, Kitchen 24, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Indian takeaway","https://lh3.googleusercontent.com/gps-cs-s/AB5caB946PrE_teoKc8jmk1lBCHQKbor5HGBTCDDENMbd6qZL0LechXLTDwb9XVXONiLM_rZAnd2554Byv_url97iutkN5Aiq5GuQ7HktBp3t_y8fxAMhqNrtcu8LyDaRR7n_5gWyHlG=s4196-v1"
"Chilli's","3.9","168","+44 161 839 9997","chillismanchester.com","Chillis Ghost Kitchen, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/p/AF1QipNLIOmMoLuOVI3AIXomTWYJihEl66AJMJona0JV=s4196-v1"
"Arizona Fried Chicken Ardwick Manchester","4.3","117","+44 161 274 4323",,"76 Stockport Rd, Manchester M12 6AL, United Kingdom","Manchester Rusholme","Manchester","Fried chicken takeaway","https://lh3.googleusercontent.com/p/AF1QipPhFB63k20o7pt3fyC7iZ9sRrW7R-H3_EebtyXN=s4196-v1"
"Pitmaster Ardwick","2.7","23",,"pitmaster.uk","Universal Building, Car Park, Pitmaster, Higher Ardwick, Manchester M12 6JR, United Kingdom","Manchester Rusholme","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/gps-proxy/ALd4DhF76YvXwL05Za-9VNIOLSxedx3JTECSV7hLg1Mzj4Faei4iqdovH5d6cVRkxqZR6PBwdrbQHZ_XZeUSfsn933qYJYS9fKM3LI88kbC7BPioUzPoJyvZ4n8UCWscsijg1IXCSgvVFv4Y3LA-acyBStFoDibLHlUeRkZT7Zr3AC8uOrW31E3xNV3m=s4196-v1"
"Chik King 鸡霸王","4.6","40","+44 7798 661166","chikking.co.uk","King, Ghost X Kitchens, 58-60, Kitchen 15, Chik, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Fried chicken takeaway","https://lh3.googleusercontent.com/p/AF1QipOSkknqykT5BnU5m8Upc4BPtFmtYB2VleyXnvuL=s4196-v1"
"The South Indian Kitchen","3.6","94","+44 7769 012097","thesouthindiankitchen.co.uk","Kitchen 10, 58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","South Indian restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-epnhbNPdIHumDeOJxpYwOy99NOIjaNEtLNXsVRJ6T8dJuA5Lm2Mw7Wi8j1zgnsCiedY2OmNlIZE7CQIIXvzxeRvUDryG1-7PQQmWOPNp3XSZPyASzReCUYQkJNCLTjACeQgRA=s4196-v1"
"PrimoGrano","4.7","61",,"primograno.co.uk","Kitchen 23, Ghost x Kitchens., 58, 60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Caterer","https://lh3.googleusercontent.com/p/AF1QipOpu0Gh0GCspAxK7V-x-57QXCgHWa86vcV_UJZw=s4196-v1"
"Dum Masala - Biryani Events","4.6","54","+44 7760 535062",,"Kitchen 27, 58-60, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hyderabadi restaurant","https://lh3.googleusercontent.com/p/AF1QipMZgJGU0byVERs4CU7S0yCgteuXXftq1c9roOw=s4196-v1"
"Bad Habits","4.5","26","+44 161 706 0679","badhabitsmanchester.com","No 30, 58-60 Higher Ardwick Kitchen, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hamburger restaurant","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4-saT9EHwP-g8UKIWwPVXw&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=175.33607&pitch=0&thumbfov=100"
"OPPA Chicken","4.9","89","+44 7869 802159","oppachicken.co.uk","M12 6DA, United Kingdom, Manchester, Higher Ardwick",,,"Fried chicken takeaway","https://lh3.googleusercontent.com/p/AF1QipPoD4C0H7VqvV6nBlRyJob2_-JG5aAUMLHRziuc=s4196-v1"
"J's Asian Fushion Takeaway","4.8","9","+44 7432 716477","saulangroup.co.uk","Kitchen No.19, Ghost x Kitchens., 58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Asian fusion restaurant","https://lh3.googleusercontent.com/p/AF1QipO67AAfoYTQNO-RY9VwQwa4OZWArp4sZLNx-DOY=s4196-v1"
"DONKIYA丼琪","4.9","14","+44 7763 434933",,"Ghost X Kitchens, 58-60, Kitchen18A, Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Japanese restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_woF-95CGskroNUrBDMv54RDOX0MlswFQ9mvddp8giDGBY1GXqjsIlWavJepnfIY5V70_WxvbFaUUjY87TP8BfroQLNgaGh1o6V-7tnXR3ieAnF3JdZN9I6F_xiuNhTXrVhiJoUA=s4196-v1"
"Gorilla Eats","5.0","1",,,"Unit 15, 58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Barbecue restaurant","https://lh3.googleusercontent.com/p/AF1QipNtgqmXWtyRTJ3LDKciBJsNwLbSJzucLjiWnMEx=s4196-v1"
"Nana's Pizzeria","5.0","11","+44 7810 475426","nanaspizzeria.beginorder.com","58, Ghost Kitchen, Capricorn House, Nanas Pizzeria, 60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Pizza restaurant","https://lh3.googleusercontent.com/p/AF1QipNZTf-V11Nybb47emObTGH18EYCEgweQ_NMk5Ix=s4196-v1"
"NamFuzion","4.9","7","+44 7398 068712",,"Ghost x Kitchens, Capricorn house, 58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Takeout restaurant","https://lh3.googleusercontent.com/p/AF1QipNeTKkT7ig7uicJq3eoJhX5gFpMSCBB-Z7ofaD1=s4196-v1"
"由米便當 YouMe Bento","5.0","33","+44 7493 103535",,"Kitchen 2A, Ardwick Kitchens42 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Hong Kong style fast food restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9nAW7ozwr2w2uSt7Nvj7TGbRjMH4UIfQ36rJQDmwWBZIPzBblzSS14wXmbFGjPlIMCkPZl3iXmtFd3AC_AI8uDJZguNzEBVGFbv4sedAAtPNb7kMS7ygbCRAWyqN4LAdiE0OZb=s4196-v1"
"Whealth kitchen","4.9","79","+44 7990 418009","whealthkitchen.co.uk","Kitchen 28, 58-60 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Fast food restaurant","https://lh3.googleusercontent.com/p/AF1QipMihCgRxpnbgnsMqmyg6uqMU_cHBVDhzF2qo2bC=s4196-v1"
"The Pizza Arena","5.0","1","+44 7810 475426",,"58 Higher Ardwick, Manchester M12 6DA, United Kingdom","Manchester Rusholme","Manchester","Pizza takeaway","https://lh3.googleusercontent.com/p/AF1QipNiQewLKr3mOIYAXIPPKwVQURebUlQmpwkvPOxl=s4196-v1"
