"title","avg-rating","rating-count","phone","website","address"
"Playgrounds of Tampa",,,"+1 813-835-7529","playgroundsoftampa.com","4535 S Dale Mabry Hwy, Tampa, FL 33611, United States"
"Plymouth Playground",,,,,"W Plymouth St, Tampa, FL 33603, United States"
"Phase 10 Playground",,,,,"Gowland Ave, Orlando, FL 32827, United States"
"Veterans Park - Kids Playground",,,,,"3154 NE 184th St, Aventura, FL 33160, United States"
"Trailhead Park Playground",,,"+1 863-291-5600","mywinterhaven.com","301 Avenue G NW, Winter Haven, FL 33881, United States"
"Coral Reef Park",,,"+1 305-259-1255","palmettobay-fl.gov","7895 SW 152nd St, Palmetto Bay, FL 33157, United States"
"Bayfront Children's Playground",,,,,"Bayfront Park, 5 Bayfront Dr, Sarasota, FL 34236, United States"
"International Plaza Play Area",,,,,"International Dr, Tampa, FL 33607, United States"
"Florida C. Dwight Memorial Playground",,,"+1 904-630-2489","coj.net","1199 Church St W, Jacksonville, FL 32204, United States"
"Sunset Park",,,"+1 352-735-7183","ci.mount-dora.fl.us","230 W 4th Ave, Mt Dora, FL 32757, United States"
"Urfer Family Park",,,"+1 941-861-5000",,"4012 Honore Ave, Sarasota, FL 34233, United States"
